-111.80000  40.90000  2061.53174  76.35162
-111.79500  40.90000  2232.34448  76.35162
-111.79000  40.90000  2321.18896  76.35162
-111.78500  40.90000  2449.60376  76.35162
-111.78000  40.90000  2538.71021  76.35162
-111.77500  40.90000  2541.32056  76.35162
-111.77000  40.90000  2435.30444  76.35162
-111.76500  40.90000  2316.83301  76.35162
-111.76000  40.90000  2282.12988  76.35162
-111.75500  40.90000  2183.62842  76.35162
-111.75000  40.90000  2102.31885  76.35162
-111.74500  40.90000  2013.75269  76.35162
-111.74000  40.90000  2077.28564  76.35162
-111.73500  40.90000  2024.78564  76.35162
-111.73000  40.90000  1997.44434  76.35162
-111.72500  40.90000  1991.76477  76.35162
-111.72000  40.90000  2170.12769  76.35162
-111.71500  40.90000  2299.26733  76.35162
-111.71000  40.90000  2349.38867  76.35162
-111.70500  40.90000  2412.27319  76.35162
-111.80000  40.90500  2278.17163  76.35162
-111.79500  40.90500  2175.01611  76.35162
-111.79000  40.90500  2261.78101  76.35162
-111.78500  40.90500  2368.76611  76.35162
-111.78000  40.90500  2482.38794  76.35162
-111.77500  40.90500  2434.99902  76.35162
-111.77000  40.90500  2456.58496  76.35162
-111.76500  40.90500  2346.80933  76.35162
-111.76000  40.90500  2235.30029  76.35162
-111.75500  40.90500  2177.57861  76.35162
-111.75000  40.90500  2154.95166  76.35162
-111.74500  40.90500  2112.81616  76.35162
-111.74000  40.90500  1975.11206  76.35162
-111.73500  40.90500  1963.24133  76.35162
-111.73000  40.90500  1938.04211  76.35162
-111.72500  40.90500  1995.54297  76.35162
-111.72000  40.90500  2156.09033  76.35162
-111.71500  40.90500  2306.78125  76.35162
-111.71000  40.90500  2315.44580  76.35162
-111.70500  40.90500  2364.75000  76.35162
-111.80000  40.91000  2349.26367  76.35162
-111.79500  40.91000  2380.02271  76.35162
-111.79000  40.91000  2401.63794  76.35162
-111.78500  40.91000  2395.12842  76.35162
-111.78000  40.91000  2453.57471  76.35162
-111.77500  40.91000  2320.90747  76.35162
-111.77000  40.91000  2353.57520  76.35162
-111.76500  40.91000  2355.33423  76.35162
-111.76000  40.91000  2172.88818  76.35162
-111.75500  40.91000  2066.66309  76.35162
-111.75000  40.91000  2114.12988  76.35162
-111.74500  40.91000  2067.33569  76.35162
-111.74000  40.91000  1996.81152  76.35162
-111.73500  40.91000  1890.71094  76.35162
-111.73000  40.91000  1941.26550  76.35162
-111.72500  40.91000  2006.29041  76.35162
-111.72000  40.91000  2113.33618  76.35162
-111.71500  40.91000  2256.88184  76.35162
-111.71000  40.91000  2271.48389  76.35162
-111.70500  40.91000  2373.74121  76.35162
-111.80000  40.91500  2441.57153  76.35162
-111.79500  40.91500  2584.04907  76.35162
-111.79000  40.91500  2579.32739  76.35162
-111.78500  40.91500  2452.99268  76.35162
-111.78000  40.91500  2388.96265  76.35162
-111.77500  40.91500  2199.64160  76.35162
-111.77000  40.91500  2260.86133  76.35162
-111.76500  40.91500  2243.62207  76.35162
-111.76000  40.91500  2155.48853  76.35162
-111.75500  40.91500  2106.23120  76.35162
-111.75000  40.91500  1976.15454  76.35162
-111.74500  40.91500  1972.43677  76.35162
-111.74000  40.91500  1956.30164  76.35162
-111.73500  40.91500  1878.40051  76.35162
-111.73000  40.91500  1932.86536  76.35162
-111.72500  40.91500  1993.57617  76.35162
-111.72000  40.91500  2098.66235  76.35162
-111.71500  40.91500  2222.25537  76.35162
-111.71000  40.91500  2202.29395  76.35162
-111.70500  40.91500  2232.79590  76.35162
-111.80000  40.92000  2474.70044  76.35162
-111.79500  40.92000  2549.29272  76.35162
-111.79000  40.92000  2543.73267  76.35162
-111.78500  40.92000  2423.90430  76.35162
-111.78000  40.92000  2278.99878  76.35162
-111.77500  40.92000  2094.46387  76.35162
-111.77000  40.92000  2138.76709  76.35162
-111.76500  40.92000  2247.47583  76.35162
-111.76000  40.92000  2118.83325  76.35162
-111.75500  40.92000  2019.23145  76.35162
-111.75000  40.92000  2013.29041  76.35162
-111.74500  40.92000  1960.82373  76.35162
-111.74000  40.92000  1859.47083  76.35162
-111.73500  40.92000  1846.54211  76.35162
-111.73000  40.92000  1883.82031  76.35162
-111.72500  40.92000  1991.42896  76.35162
-111.72000  40.92000  2132.72192  76.35162
-111.71500  40.92000  2207.05786  76.35162
-111.71000  40.92000  2079.35254  76.35162
-111.70500  40.92000  2183.48120  76.35162
-111.80000  40.92500  2356.67139  76.35162
-111.79500  40.92500  2508.98340  76.35162
-111.79000  40.92500  2528.88428  76.35162
-111.78500  40.92500  2353.80151  76.35162
-111.78000  40.92500  2185.12183  76.35162
-111.77500  40.92500  2024.27368  76.35162
-111.77000  40.92500  2054.23096  76.35162
-111.76500  40.92500  2097.40210  76.35162
-111.76000  40.92500  2133.02271  76.35162
-111.75500  40.92500  2052.09082  76.35162
-111.75000  40.92500  1974.50989  76.35162
-111.74500  40.92500  1880.57678  76.35162
-111.74000  40.92500  1841.60364  76.35162
-111.73500  40.92500  1830.75024  76.35162
-111.73000  40.92500  1877.89783  76.35162
-111.72500  40.92500  2021.67676  76.35162
-111.72000  40.92500  2101.49731  76.35162
-111.71500  40.92500  2100.36499  76.35162
-111.71000  40.92500  2004.79956  76.35162
-111.70500  40.92500  2068.39355  76.35162
-111.80000  40.93000  2351.26074  76.35162
-111.79500  40.93000  2488.11157  76.35162
-111.79000  40.93000  2443.79150  76.35162
-111.78500  40.93000  2307.71216  76.35162
-111.78000  40.93000  2212.30908  76.35162
-111.77500  40.93000  2084.84766  76.35162
-111.77000  40.93000  1978.27771  76.35162
